c1	c2	c3	c4	c5	c6
gene1991	gene2135	gene2227	gene2524	gene2300	gene2880
gene1996	gene2139	gene2229	gene2525	gene2302	gene2891
gene1997	gene2140	gene2231	gene2535	gene2306	gene2893
gene2000	gene2142	gene2233	gene2539	gene2312	gene2894
gene2001	gene2145	gene2235	gene2540	gene2313	gene2897
gene2003	gene2147	gene2239	gene2546	gene2314	gene2900
gene2004	gene2148	gene2241	gene2547	gene2319	gene2902
gene2006	gene2149	gene2245	gene2548	gene2323	gene2907
gene2008	gene2151	gene2247	gene2554	gene2328	gene2915
gene2009	gene2152	gene2249	gene2560	gene2329	gene2920
gene2012	gene2156	gene2250	gene2563	gene2331	gene2922
gene2015	gene2158	gene2256	gene2565	gene2336	gene2925
gene2017	gene2161	gene2258	gene2567	gene2337	gene2928
gene2018	gene2162	gene2260	gene2568	gene2342	gene2933
gene2019	gene2163	gene2262	gene2569	gene2350	gene2943
gene2020	gene2164	gene2263	gene2570	gene2353	gene2963
gene2021	gene2165	gene2265	gene2573	gene2354	gene2975
gene2022	gene2166	gene2267	gene2574	gene2355	gene2979
gene2025	gene2168	gene2269	gene2577	gene2357	gene2983
gene2026	gene2170	gene2272	gene2581	gene2358	gene2999
gene2030	gene2173	gene2273	gene2591	gene2359	gene3017
gene2031	gene2175	gene2278	gene2596	gene2360	gene3019
gene2033	gene2176	gene2280	gene2598	gene2365	gene3021
gene2036	gene2177	gene2281	gene2614	gene2367	gene3029
gene2039	gene2178	gene2286	gene2615	gene2368	gene3045
gene2041	gene2186	gene2289	gene2616	gene2375	gene3068
gene2042	gene2187	gene2293	gene2620	gene2386	gene3074
gene2045	gene2190	gene2296	gene2630	gene2395	gene3081
gene2046	gene2192	gene2298	gene2634	gene2397	gene3085
gene2047	gene2193	gene2301	gene2636	gene2399	gene3095
gene2048	gene2194	gene2302	gene2639	gene2400	gene3098
gene2050	gene2198	gene2312	gene2642	gene2401	gene3102
gene2052	gene2199	gene2313	gene2644	gene2403	gene3108
gene2053	gene2200	gene2314	gene2650	gene2408	gene3109
gene2055	gene2208	gene2319	gene2656	gene2410	gene3123
gene2056	gene2210	gene2321	gene2657	gene2411	gene3132
gene2057	gene2216	gene2323	gene2658	gene2412	gene3137
gene2058	gene2217	gene2326	gene2659	gene2417	gene3138
gene2059	gene2219	gene2327	gene2660	gene2419	gene3144
gene2060	gene2222	gene2328	gene2673	gene2424	gene3145
gene2061	gene2227	gene2331	gene2675	gene2428	gene3153
gene2063	gene2230	gene2332	gene2678	gene2436	gene3177
gene2066	gene2233	gene2335	gene2680	gene2437	gene3181
gene2067	gene2235	gene2337	gene2691	gene2444	gene3182
gene2069	gene2237	gene2338	gene2692	gene2447	gene3191
gene2073	gene2239	gene2342	gene2695	gene2450	gene3193
gene2075	gene2242	gene2344	gene2701	gene2459	gene3200
gene2076	gene2243	gene2346	gene2702	gene2462	gene3202
gene2079	gene2244	gene2347	gene2714	gene2464	gene3203
gene2081	gene2245	gene2350	gene2720	gene2465	gene3205
gene2085	gene2246	gene2353	gene2721	gene2466	gene3206
gene2087	gene2247	gene2356	gene2728	gene2468	gene3219
gene2089	gene2248	gene2358	gene2732	gene2469	gene3221
gene2090	gene2249	gene2359	gene2736	gene2472	gene3246
gene2093	gene2250	gene2361	gene2740	gene2473	gene3247
gene2095	gene2251	gene2364	gene2743	gene2477	gene3251
gene2096	gene2252	gene2367	gene2751	gene2478	gene3260
gene2098	gene2258	gene2368	gene2754	gene2481	gene3272
gene2101	gene2264	gene2371	gene2756	gene2485	gene3303
gene2108	gene2265	gene2372	gene2758	gene2487	gene3307
gene2113	gene2267	gene2374	gene2761	gene2495	gene3312
gene2115	gene2269	gene2375	gene2768	gene2498	gene3325
gene2124	gene2270	gene2385	gene2773	gene2501	gene3327
gene2130	gene2272	gene2386	gene2776	gene2503	gene3339
gene2131	gene2273	gene2390	gene2777	gene2504	gene3347
gene2133	gene2276	gene2394	gene2782	gene2506	gene3349
gene2135	gene2278	gene2395	gene2790	gene2508	gene3362
gene2136	gene2279	gene2399	gene2794	gene2511	gene3367
gene2139	gene2280	gene2400	gene2800	gene2514	gene3369
gene2140	gene2282	gene2404	gene2819	gene2518	gene3372
gene2145	gene2287	gene2405	gene2820	gene2520	gene3377
gene2147	gene2288	gene2406	gene2823	gene2526	gene3378
gene2148	gene2292	gene2407	gene2824	gene2528	gene3382
gene2149	gene2293	gene2408	gene2827	gene2530	gene3396
gene2150	gene2298	gene2412	gene2829	gene2535	gene3399
gene2152	gene2300	gene2413	gene2838	gene2536	gene3400
gene2154	gene2302	gene2420	gene2845	gene2539	gene3402
gene2156	gene2305	gene2428	gene2848	gene2546	gene3403
gene2162	gene2308	gene2429	gene2856	gene2548	gene3405
gene2163	gene2311	gene2435	gene2857	gene2554	gene3413
gene2164	gene2313	gene2442	gene2863	gene2556	gene3420
gene2165	gene2314	gene2452	gene2865	gene2559	gene3434
gene2166	gene2315	gene2453	gene2881	gene2560	gene3446
gene2168	gene2316	gene2459	gene2891	gene2566	gene3464
gene2170	gene2317	gene2461	gene2895	gene2567	gene3485
gene2171	gene2322	gene2462	gene2897	gene2574	gene3493
gene2172	gene2325	gene2464	gene2900	gene2581	gene3511
gene2175	gene2326	gene2465	gene2904	gene2584	gene3513
gene2176	gene2328	gene2469	gene2913	gene2585	gene3528
gene2177	gene2331	gene2470	gene2925	gene2592	gene3535
gene2179	gene2332	gene2473	gene2927	gene2593	gene3548
gene2183	gene2335	gene2475	gene2929	gene2594	gene3560
gene2185	gene2336	gene2477	gene2930	gene2600	gene3561
gene2186	gene2337	gene2481	gene2931	gene2605	gene3566
gene2187	gene2341	gene2482	gene2934	gene2607	gene3567
gene2189	gene2342	gene2485	gene2940	gene2610	gene3573
gene2190	gene2344	gene2487	gene2943	gene2614	gene3577
gene2192	gene2345	gene2494	gene2945	gene2616	gene3589
gene2195	gene2347	gene2495	gene2955	gene2617	gene3598
gene2199	gene2350	gene2496	gene2959	gene2620	gene3608
gene2201	gene2352	gene2498	gene2963	gene2624	gene3625
gene2203	gene2354	gene2500	gene2964	gene2625	gene3634
gene2207	gene2356	gene2502	gene2970	gene2635	gene3637
gene2208	gene2359	gene2504	gene2973	gene2636	gene3644
gene2214	gene2360	gene2507	gene2975	gene2639	gene3650
gene2217	gene2361	gene2508	gene3017	gene2640	gene3660
gene2219	gene2362	gene2511	gene3027	gene2642	gene3671
gene2221	gene2365	gene2520	gene3029	gene2644	gene3672
gene2226	gene2368	gene2524	gene3043	gene2655	gene3673
gene2231	gene2373	gene2525	gene3045	gene2656	gene3675
gene2233	gene2374	gene2528	gene3046	gene2660	gene3678
gene2235	gene2375	gene2535	gene3050	gene2662	gene3684
gene2240	gene2378	gene2539	gene3061	gene2663	gene3686
gene2242	gene2384	gene2540	gene3064	gene2664	gene3688
gene2244	gene2386	gene2546	gene3068	gene2667	gene3707
gene2245	gene2387	gene2547	gene3074	gene2677	gene3714
gene2246	gene2388	gene2548	gene3075	gene2679	gene3715
gene2247	gene2389	gene2554	gene3081	gene2683	gene3721
gene2248	gene2393	gene2556	gene3083	gene2695	gene3723
gene2249	gene2394	gene2557	gene3103	gene2714	gene3725
gene2251	gene2395	gene2565	gene3104	gene2718	gene3731
gene2256	gene2399	gene2567	gene3113	gene2721	gene3732
gene2259	gene2400	gene2568	gene3121	gene2722	gene3738
gene2263	gene2404	gene2571	gene3132	gene2728	gene3741
gene2265	gene2406	gene2573	gene3133	gene2731	gene3744
gene2269	gene2407	gene2577	gene3137	gene2736	gene3745
gene2271	gene2408	gene2584	gene3139	gene2740	gene3755
gene2273	gene2410	gene2585	gene3140	gene2748	gene3780
gene2274	gene2412	gene2596	gene3141	gene2759	gene3782
gene2278	gene2417	gene2598	gene3142	gene2767	gene3799
gene2280	gene2423	gene2610	gene3145	gene2768	gene3815
gene2281	gene2424	gene2613	gene3146	gene2773	gene3816
gene2284	gene2425	gene2614	gene3151	gene2774	gene3824
gene2287	gene2428	gene2616	gene3153	gene2776	gene3832
gene2293	gene2429	gene2617	gene3160	gene2777	gene3843
gene2295	gene2435	gene2620	gene3161	gene2782	gene3854
gene2298	gene2442	gene2622	gene3168	gene2783	gene3857
gene2301	gene2444	gene2632	gene3182	gene2784	gene3869
gene2302	gene2446	gene2633	gene3191	gene2787	gene3875
gene2303	gene2451	gene2635	gene3196	gene2788	gene3901
gene2304	gene2455	gene2636	gene3206	gene2789	gene3905
gene2305	gene2457	gene2639	gene3219	gene2791	gene3911
gene2307	gene2459	gene2641	gene3221	gene2793	gene3917
gene2308	gene2460	gene2642	gene3225	gene2795	gene3919
gene2311	gene2461	gene2643	gene3235	gene2805	gene3928
gene2312	gene2462	gene2650	gene3247	gene2806	gene3944
gene2313	gene2465	gene2651	gene3248	gene2810	gene3951
gene2314	gene2467	gene2656	gene3249	gene2811	gene3954
gene2316	gene2473	gene2659	gene3256	gene2818	gene3958
gene2317	gene2474	gene2660	gene3292	gene2819	gene3960
gene2328	gene2475	gene2667	gene3293	gene2823	gene3992
gene2331	gene2477	gene2673	gene3307	gene2824	gene3995
gene2332	gene2479	gene2677	gene3308	gene2827	gene4001
gene2337	gene2481	gene2681	gene3311	gene2829	gene4037
gene2338	gene2485	gene2686	gene3312	gene2832	gene4046
gene2340	gene2487	gene2692	gene3313	gene2834	gene4053
gene2342	gene2488	gene2694	gene3318	gene2835	gene4054
gene2343	gene2491	gene2695	gene3319	gene2836	gene4065
gene2344	gene2495	gene2698	gene3325	gene2838	gene4069
gene2347	gene2502	gene2699	gene3327	gene2843	gene4094
gene2348	gene2504	gene2701	gene3328	gene2845	gene4136
gene2350	gene2511	gene2711	gene3340	gene2848	gene4137
gene2352	gene2518	gene2714	gene3342	gene2856	gene4139
gene2354	gene2528	gene2718	gene3355	gene2860	gene4143
gene2356	gene2529	gene2721	gene3365	gene2869	gene4152
gene2359	gene2535	gene2726	gene3367	gene2870	gene4162
gene2360	gene2544	gene2728	gene3377	gene2875	gene4175
gene2367	gene2546	gene2731	gene3378	gene2878	gene4189
gene2368	gene2547	gene2740	gene3383	gene2881	gene4190
gene2373	gene2548	gene2743	gene3397	gene2883	gene4210
gene2375	gene2550	gene2750	gene3402	gene2886	gene4212
gene2381	gene2551	gene2752	gene3403	gene2889	gene4214
gene2385	gene2554	gene2753	gene3404	gene2893	gene4223
gene2386	gene2563	gene2755	gene3406	gene2895	gene4234
gene2389	gene2567	gene2756	gene3412	gene2897	gene4238
gene2390	gene2568	gene2762	gene3431	gene2898	gene4243
gene2395	gene2573	gene2776	gene3434	gene2900	gene4244
gene2396	gene2576	gene2790	gene3436	gene2902	gene4246
gene2397	gene2579	gene2791	gene3446	gene2907	gene4249
gene2404	gene2581	gene2793	gene3447	gene2917	gene4255
gene2405	gene2584	gene2805	gene3448	gene2929	gene4280
gene2406	gene2591	gene2808	gene3464	gene2931	gene4282
gene2407	gene2592	gene2813	gene3471	gene2933	gene4288
gene2410	gene2597	gene2820	gene3485	gene2943	gene4298
gene2412	gene2608	gene2823	gene3493	gene2947	gene4302
gene2416	gene2610	gene2824	gene3501	gene2971	gene4307
gene2422	gene2615	gene2828	gene3503	gene2979	gene4311
gene2424	gene2617	gene2829	gene3508	gene2988	gene4319
gene2425	gene2620	gene2837	gene3511	gene2990	gene4327
gene2428	gene2633	gene2838	gene3513	gene2997	gene4365
gene2429	gene2635	gene2839	gene3528	gene3009	gene4384
gene2433	gene2636	gene2840	gene3530	gene3019	gene4388
gene2435	gene2640	gene2848	gene3535	gene3029	gene4426
gene2444	gene2642	gene2851	gene3538	gene3044	gene4448
gene2446	gene2644	gene2855	gene3540	gene3045	gene4458
gene2455	gene2650	gene2860	gene3542	gene3053	gene4468
gene2456	gene2651	gene2865	gene3543	gene3059	gene4480
gene2461	gene2655	gene2867	gene3544	gene3062	gene4496
gene2462	gene2656	gene2877	gene3547	gene3064	gene4500
gene2464	gene2657	gene2878	gene3548	gene3065	gene4511
gene2465	gene2659	gene2883	gene3555	gene3068	gene4522
gene2467	gene2660	gene2886	gene3559	gene3070	gene4541
gene2473	gene2661	gene2887	gene3561	gene3074	gene4550
gene2477	gene2670	gene2891	gene3564	gene3083	gene4552
gene2480	gene2675	gene2897	gene3566	gene3091	gene4580
gene2481	gene2677	gene2898	gene3569	gene3092	gene4581
gene2485	gene2681	gene2900	gene3583	gene3097	gene4611
gene2487	gene2690	gene2902	gene3598	gene3102	gene4613
gene2494	gene2695	gene2903	gene3603	gene3104	gene4619
gene2495	gene2699	gene2905	gene3625	gene3108	gene4632
gene2501	gene2700	gene2912	gene3630	gene3112	gene4638
gene2502	gene2712	gene2913	gene3637	gene3114	gene4645
gene2504	gene2719	gene2917	gene3644	gene3121	gene4663
gene2506	gene2722	gene2924	gene3650	gene3123	gene4674
gene2511	gene2724	gene2927	gene3663	gene3125	gene4676
gene2512	gene2726	gene2929	gene3671	gene3129	gene4683
gene2528	gene2728	gene2930	gene3672	gene3134	gene4693
gene2535	gene2734	gene2943	gene3673	gene3135	gene4697
gene2538	gene2735	gene2947	gene3685	gene3136	gene4704
gene2541	gene2736	gene2959	gene3693	gene3137	gene4722
gene2546	gene2737	gene2970	gene3704	gene3139	gene4723
gene2547	gene2740	gene2977	gene3713	gene3144	gene4724
gene2548	gene2743	gene2987	gene3714	gene3145	gene4740
gene2551	gene2752	gene2988	gene3719	gene3146	gene4756
gene2554	gene2758	gene2994	gene3727	gene3153	gene4783
gene2560	gene2770	gene2997	gene3731	gene3154	gene4800
gene2567	gene2776	gene3009	gene3746	gene3166	gene4816
gene2568	gene2781	gene3010	gene3762	gene3169	gene4841
gene2571	gene2782	gene3016	gene3767	gene3174	gene4844
gene2581	gene2784	gene3019	gene3773	gene3182	gene4853
gene2584	gene2789	gene3021	gene3776	gene3191	gene4870
gene2587	gene2790	gene3025	gene3782	gene3194	gene4895
gene2590	gene2791	gene3027	gene3798	gene3196	gene4898
gene2592	gene2793	gene3030	gene3799	gene3198	gene4913
gene2596	gene2794	gene3036	gene3805	gene3207	gene4923
gene2600	gene2798	gene3037	gene3826	gene3213	gene4927
gene2607	gene2808	gene3045	gene3827	gene3219	gene4956
gene2610	gene2812	gene3054	gene3828	gene3220	gene4960
gene2612	gene2820	gene3058	gene3829	gene3221	gene4967
gene2614	gene2824	gene3062	gene3839	gene3227	gene4980
gene2616	gene2826	gene3067	gene3840	gene3233	gene4994
gene2617	gene2827	gene3068	gene3852	gene3234	gene4997
gene2620	gene2829	gene3074	gene3864	gene3246	gene4999
gene2621	gene2832	gene3076	gene3870	gene3247	gene5016
gene2624	gene2834	gene3082	gene3875	gene3248	gene5029
gene2626	gene2838	gene3085	gene3884	gene3249	gene5056
gene2632	gene2839	gene3091	gene3898	gene3252	gene5083
gene2635	gene2845	gene3095	gene3901	gene3255	gene5096
gene2636	gene2847	gene3099	gene3906	gene3256	gene5127
gene2639	gene2848	gene3103	gene3913	gene3260	gene5147
gene2642	gene2855	gene3109	gene3917	gene3275	gene5156
gene2644	gene2857	gene3112	gene3919	gene3278	gene5167
gene2646	gene2860	gene3113	gene3922	gene3283	gene5174
gene2650	gene2863	gene3114	gene3935	gene3286	gene5194
gene2653	gene2874	gene3115	gene3941	gene3290	gene5209
gene2656	gene2876	gene3121	gene3943	gene3300	gene5218
gene2657	gene2878	gene3130	gene3947	gene3302	gene5219
gene2659	gene2886	gene3136	gene3948	gene3307	gene5261
gene2660	gene2891	gene3137	gene3958	gene3311	gene5277
gene2661	gene2897	gene3138	gene3961	gene3312	gene5292
gene2664	gene2900	gene3140	gene3973	gene3337	gene5300
gene2668	gene2902	gene3141	gene3978	gene3365	gene5314
gene2675	gene2904	gene3144	gene3982	gene3369	gene5335
gene2676	gene2905	gene3145	gene3994	gene3371	gene5349
gene2679	gene2912	gene3150	gene3995	gene3377	gene5365
gene2689	gene2922	gene3151	gene4001	gene3378	gene5375
gene2691	gene2924	gene3152	gene4005	gene3387	gene5382
gene2692	gene2942	gene3153	gene4008	gene3402	gene5386
gene2694	gene2943	gene3162	gene4034	gene3403	gene5392
gene2695	gene2947	gene3166	gene4036	gene3424	gene5397
gene2696	gene2952	gene3167	gene4046	gene3430	gene5400
gene2698	gene2963	gene3169	gene4049	gene3432	gene5409
gene2699	gene2964	gene3171	gene4051	gene3434	gene5411
gene2702	gene2968	gene3172	gene4055	gene3435	gene5439
gene2714	gene2972	gene3181	gene4061	gene3450	gene5441
gene2715	gene2975	gene3182	gene4066	gene3457	gene5443
gene2719	gene2987	gene3191	gene4078	gene3459	gene5452
gene2721	gene2988	gene3201	gene4093	gene3468	gene5462
gene2727	gene2994	gene3211	gene4105	gene3471	gene5475
gene2728	gene2997	gene3218	gene4116	gene3472	gene5486
gene2731	gene2999	gene3219	gene4123	gene3476	gene5511
gene2734	gene3005	gene3221	gene4125	gene3485	gene5512
gene2736	gene3008	gene3226	gene4129	gene3487	gene5521
gene2740	gene3009	gene3230	gene4135	gene3493	gene5546
gene2747	gene3014	gene3234	gene4136	gene3510	gene5553
gene2752	gene3017	gene3235	gene4137	gene3513	gene5585
gene2756	gene3019	gene3237	gene4142	gene3518	gene5597
gene2759	gene3020	gene3241	gene4143	gene3523	gene5617
gene2767	gene3021	gene3247	gene4170	gene3524	gene5664
gene2768	gene3023	gene3248	gene4171	gene3535	gene5673
gene2773	gene3030	gene3249	gene4175	gene3538	gene5682
gene2776	gene3034	gene3251	gene4182	gene3544	gene5695
gene2777	gene3045	gene3252	gene4189	gene3545	gene5696
gene2783	gene3056	gene3260	gene4190	gene3559	gene5697
gene2784	gene3062	gene3263	gene4195	gene3560	gene5702
gene2789	gene3063	gene3266	gene4208	gene3566	gene5704
gene2790	gene3066	gene3290	gene4210	gene3567	gene5709
gene2793	gene3067	gene3304	gene4212	gene3568	gene5712
gene2796	gene3068	gene3306	gene4223	gene3577	gene5720
gene2804	gene3071	gene3307	gene4230	gene3589	gene5725
gene2805	gene3073	gene3308	gene4234	gene3593	gene5734
gene2806	gene3075	gene3312	gene4238	gene3598	gene5758
gene2812	gene3076	gene3318	gene4240	gene3604	gene5773
gene2820	gene3085	gene3325	gene4243	gene3625	gene5775
gene2821	gene3088	gene3327	gene4245	gene3634	gene5801
gene2823	gene3090	gene3337	gene4248	gene3637	gene5811
gene2824	gene3091	gene3342	gene4249	gene3640	gene5840
gene2826	gene3102	gene3349	gene4266	gene3641	gene5848
gene2827	gene3109	gene3351	gene4268	gene3642	gene5856
gene2829	gene3112	gene3359	gene4276	gene3650	gene5866
gene2830	gene3113	gene3362	gene4278	gene3656	gene5885
gene2834	gene3128	gene3366	gene4298	gene3660	gene5901
gene2836	gene3133	gene3371	gene4299	gene3673	gene5907
gene2838	gene3136	gene3376	gene4303	gene3684	gene5934
gene2839	gene3137	gene3377	gene4304	gene3688	gene5954
gene2844	gene3140	gene3378	gene4327	gene3703	gene5964
gene2847	gene3142	gene3382	gene4352	gene3704	gene5985
gene2848	gene3145	gene3389	gene4366	gene3707	gene5992
gene2857	gene3146	gene3390	gene4367	gene3710	gene5998
gene2858	gene3151	gene3395	gene4388	gene3712	gene6000
gene2859	gene3153	gene3399	gene4396	gene3714	gene6003
gene2863	gene3157	gene3402	gene4398	gene3718	gene6004
gene2865	gene3167	gene3403	gene4410	gene3721	gene6015
gene2870	gene3177	gene3419	gene4411	gene3731	gene6023
gene2890	gene3182	gene3420	gene4413	gene3733	gene6029
gene2891	gene3183	gene3426	gene4414	gene3737	gene6041
gene2894	gene3189	gene3430	gene4415	gene3739	gene6052
gene2898	gene3191	gene3433	gene4428	gene3740	gene6063
gene2900	gene3193	gene3434	gene4445	gene3755	gene6065
gene2902	gene3196	gene3444	gene4457	gene3762	gene6075
gene2908	gene3200	gene3450	gene4480	gene3770	gene6136
gene2915	gene3205	gene3454	gene4482	gene3782	gene6151
gene2919	gene3206	gene3456	gene4500	gene3798	gene6154
gene2925	gene3207	gene3459	gene4507	gene3799	gene6162
gene2928	gene3216	gene3460	gene4520	gene3805	gene6188
gene2929	gene3219	gene3465	gene4522	gene3814	gene6207
gene2930	gene3221	gene3471	gene4540	gene3821	gene6211
gene2933	gene3224	gene3472	gene4553	gene3828	gene6212
gene2943	gene3236	gene3475	gene4554	gene3833	gene6246
gene2948	gene3239	gene3476	gene4581	gene3839	gene6263
gene2957	gene3240	gene3493	gene4588	gene3848	gene6281
gene2960	gene3242	gene3502	gene4597	gene3870	gene6309
gene2970	gene3245	gene3505	gene4601	gene3871	gene6331
gene2979	gene3247	gene3513	gene4602	gene3873	gene6333
gene2988	gene3248	gene3522	gene4625	gene3875	gene6352
gene2990	gene3249	gene3525	gene4639	gene3885	gene6354
gene2994	gene3252	gene3528	gene4643	gene3892	gene6359
gene2995	gene3261	gene3538	gene4644	gene3904	gene6360
gene2997	gene3263	gene3540	gene4648	gene3917	gene6374
gene3008	gene3283	gene3544	gene4676	gene3925	gene6416
gene3009	gene3286	gene3545	gene4693	gene3928	gene6447
gene3023	gene3288	gene3551	gene4699	gene3934	gene6450
gene3027	gene3290	gene3555	gene4718	gene3943	gene6454
gene3030	gene3303	gene3556	gene4736	gene3945	gene6496
gene3034	gene3304	gene3561	gene4740	gene3951	gene6534
gene3038	gene3307	gene3564	gene4746	gene3958	gene6572
gene3042	gene3312	gene3566	gene4756	gene3964	gene6600
gene3045	gene3323	gene3575	gene4762	gene3967	gene6660
gene3046	gene3325	gene3582	gene4783	gene3992	gene6679
gene3050	gene3327	gene3596	gene4807	gene3996	gene6687
gene3055	gene3332	gene3599	gene4808	gene3999	gene6697
gene3062	gene3333	gene3600	gene4823	gene4005	gene6702
gene3065	gene3342	gene3603	gene4828	gene4008	gene6725
gene3066	gene3343	gene3605	gene4838	gene4013	gene6743
gene3067	gene3349	gene3613	gene4839	gene4027	gene6821
gene3068	gene3354	gene3616	gene4853	gene4036	gene6844
gene3070	gene3357	gene3619	gene4854	gene4046	gene6857
gene3071	gene3365	gene3628	gene4871	gene4051	gene6866
gene3085	gene3367	gene3631	gene4874	gene4054	gene6883
gene3088	gene3368	gene3632	gene4878	gene4089	gene6887
gene3091	gene3372	gene3633	gene4894	gene4094	gene6902
gene3093	gene3377	gene3634	gene4895	gene4114	gene6924
gene3094	gene3378	gene3637	gene4901	gene4116	gene6929
gene3096	gene3382	gene3640	gene4923	gene4132	gene6943
gene3098	gene3416	gene3643	gene4958	gene4140	gene6955
gene3101	gene3426	gene3644	gene4967	gene4143	gene6981
gene3104	gene3432	gene3650	gene4976	gene4154	gene6992
gene3106	gene3434	gene3653	gene4989	gene4157	gene7017
gene3109	gene3452	gene3660	gene4995	gene4159	gene7020
gene3115	gene3458	gene3661	gene4999	gene4164	gene7030
gene3117	gene3459	gene3664	gene5000	gene4175	gene7055
gene3119	gene3461	gene3671	gene5004	gene4185	gene7057
gene3121	gene3471	gene3672	gene5016	gene4186	gene7088
gene3123	gene3472	gene3673	gene5029	gene4189	gene7092
gene3136	gene3475	gene3688	gene5031	gene4190	gene7116
gene3137	gene3485	gene3695	gene5043	gene4193	gene7124
gene3140	gene3493	gene3704	gene5045	gene4198	gene7148
gene3143	gene3499	gene3711	gene5056	gene4206	gene7149
gene3144	gene3507	gene3714	gene5088	gene4210	gene7154
gene3145	gene3513	gene3718	gene5132	gene4223	gene7191
gene3150	gene3514	gene3720	gene5136	gene4231	gene7217
gene3153	gene3520	gene3721	gene5137	gene4234	gene7233
gene3158	gene3537	gene3722	gene5147	gene4238	gene7240
gene3160	gene3538	gene3731	gene5169	gene4254	gene7254
gene3161	gene3539	gene3742	gene5171	gene4255	gene7287
gene3167	gene3544	gene3753	gene5172	gene4265	gene7288
gene3168	gene3545	gene3775	gene5177	gene4267	gene7297
gene3171	gene3555	gene3782	gene5200	gene4298	gene7300
gene3172	gene3562	gene3795	gene5209	gene4310	gene7309
gene3182	gene3563	gene3798	gene5217	gene4317	gene7324
gene3185	gene3564	gene3799	gene5218	gene4327	gene7341
gene3191	gene3565	gene3805	gene5219	gene4336	gene7350
gene3196	gene3566	gene3827	gene5234	gene4349	gene7352
gene3197	gene3567	gene3834	gene5241	gene4370	gene7368
gene3219	gene3568	gene3846	gene5252	gene4374	gene7394
gene3221	gene3575	gene3854	gene5267	gene4388	gene7433
gene3224	gene3577	gene3860	gene5270	gene4389	gene7452
gene3235	gene3586	gene3861	gene5272	gene4393	gene7503
gene3239	gene3598	gene3870	gene5277	gene4405	gene7529
gene3240	gene3605	gene3874	gene5316	gene4410	gene7539
gene3242	gene3624	gene3885	gene5323	gene4411	gene7594
gene3246	gene3625	gene3886	gene5335	gene4424	gene7667
gene3247	gene3630	gene3890	gene5349	gene4438	gene7706
gene3249	gene3634	gene3892	gene5367	gene4442	gene7746
gene3252	gene3637	gene3908	gene5382	gene4443	gene7768
gene3260	gene3638	gene3912	gene5383	gene4455	gene7886
gene3261	gene3640	gene3919	gene5386	gene4480	gene7893
gene3266	gene3641	gene3932	gene5390	gene4483	gene7902
gene3276	gene3644	gene3945	gene5400	gene4486	gene7912
gene3278	gene3650	gene3958	gene5434	gene4489	gene7918
gene3285	gene3658	gene3961	gene5443	gene4491	gene7978
gene3290	gene3660	gene3962	gene5458	gene4500	gene7997
gene3307	gene3671	gene3999	gene5464	gene4511	gene8009
gene3312	gene3677	gene4001	gene5467	gene4517	gene8022
gene3314	gene3678	gene4004	gene5475	gene4520	gene8049
gene3317	gene3679	gene4005	gene5508	gene4522	gene8063
gene3321	gene3686	gene4013	gene5512	gene4541	gene8070
gene3327	gene3688	gene4014	gene5521	gene4558	gene8076
gene3328	gene3691	gene4025	gene5530	gene4580	gene8098
gene3329	gene3697	gene4034	gene5532	gene4581	gene8182
gene3333	gene3700	gene4036	gene5534	gene4588	gene8215
gene3349	gene3701	gene4040	gene5546	gene4606	gene8219
gene3367	gene3704	gene4041	gene5553	gene4611	gene8252
gene3377	gene3710	gene4044	gene5580	gene4630	gene8259
gene3378	gene3714	gene4046	gene5597	gene4632	gene8264
gene3382	gene3719	gene4051	gene5604	gene4653	gene8285
gene3397	gene3720	gene4053	gene5606	gene4661	gene8303
gene3399	gene3721	gene4054	gene5636	gene4669	gene8315
gene3402	gene3723	gene4057	gene5665	gene4674	gene8322
gene3403	gene3725	gene4060	gene5668	gene4676	gene8324
gene3410	gene3731	gene4073	gene5682	gene4683	gene8348
gene3420	gene3739	gene4077	gene5696	gene4693	gene8353
gene3430	gene3746	gene4083	gene5702	gene4732	gene8371
gene3431	gene3755	gene4094	gene5706	gene4736	gene8442
gene3434	gene3757	gene4096	gene5710	gene4740	gene8481
gene3442	gene3765	gene4097	gene5714	gene4748	gene8487
gene3444	gene3776	gene4100	gene5731	gene4782	gene8531
gene3452	gene3781	gene4108	gene5775	gene4783	gene8541
gene3459	gene3782	gene4111	gene5779	gene4792	gene8580
gene3461	gene3798	gene4120	gene5787	gene4795	gene8582
gene3472	gene3799	gene4121	gene5796	gene4801	gene8610
gene3475	gene3800	gene4129	gene5835	gene4808	gene8615
gene3483	gene3808	gene4136	gene5846	gene4811	gene8630
gene3484	gene3809	gene4137	gene5853	gene4816	gene8638
gene3485	gene3810	gene4140	gene5865	gene4817	gene8641
gene3490	gene3811	gene4142	gene5876	gene4823	gene8655
gene3493	gene3826	gene4143	gene5877	gene4826	gene8656
gene3498	gene3828	gene4164	gene5912	gene4838	gene8713
gene3503	gene3829	gene4175	gene5934	gene4853	gene8731
gene3507	gene3839	gene4177	gene5954	gene4856	gene8778
gene3513	gene3856	gene4183	gene5962	gene4867	gene8780
gene3522	gene3859	gene4186	gene5964	gene4873	gene8791
gene3535	gene3863	gene4187	gene5968	gene4874	gene8808
gene3538	gene3868	gene4189	gene5992	gene4878	gene8849
gene3539	gene3870	gene4190	gene5998	gene4892	gene8892
gene3540	gene3872	gene4192	gene6000	gene4895	gene8893
